user_skill,job_title,job_desc,is_match
เขียนโปรแกรม,รับสมัครนักพัฒนาเว็บไซต์,พัฒนาเว็บแอปด้วย React และ Node.js,1
เขียนโปรแกรม,แม่ครัวร้านอาหาร,ทำอาหารเช้าและกลางวัน,0
เขียนโปรแกรม,Software Engineer,พัฒนาโปรแกรมด้วย Python,1
เขียนโปรแกรม,ขนของย้ายบ้าน,ยกของขึ้นตึก,0
ทำอาหาร,เชฟร้านอาหาร,ทำอาหารในครัวไทย,1
ทำอาหาร,รับสมัครนักเขียนโปรแกรม,พัฒนาโปรแกรมและระบบฐานข้อมูล,0
ทำอาหาร,แม่บ้าน,ทำความสะอาดบ้านพัก,0
แม่บ้าน,ทำความสะอาดหอพัก,ดูแลความสะอาดห้องและพื้นที่ส่วนกลาง,1
แม่บ้าน,นักพัฒนาเว็บ,เขียนโปรแกรม JavaScript,0
ขนของ,พนักงานขนของ,ช่วยยกของและขนของขึ้นตึก,1
ขนของ,ช่างไฟฟ้า,ซ่อมบำรุงและเดินสายไฟ,0
สอนหนังสือ,ติวเตอร์คณิตศาสตร์,สอนนักเรียนระดับมัธยมต้น,1
สอนหนังสือ,พนักงานขายของ,ขายสินค้าและบริการ,0
